Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	6480.2427046	61	01	5	0130													6000000	380000	0	0	0	0	0	1	2		2		200601300090	20060130009001	6478.69489089288
60	03	01	6480.2427046	61	01	5	0119													3000000	200000	0	0	0	0	0	1	2		2		200601300090	20060130009001	6478.69489089288
60	04	01	6480.2427046	61	01	5	0119													3000000	200000	0	0	0	0	0	1	2		2		200601300090	20060130009001	6478.69489089288
60	05	01	6480.2427046	62	01	5	0140													500000	60000	0	0	0	0	0	1	2		2		200601300090	20060130009001	6478.69489089288
60	01	01	4745.2345572	61	01	5	0119													3200000	200000	0	0	0	0	0	1	2		2		200601300091	20060130009101	4761.37643783548
60	02	01	4745.2345572	75	17	5	1743													450000	40000	0	0	0	0	0	1	2		2		200601300091	20060130009101	4761.37643783548
60	01	01	5736.2194832	61	01	5	0119													1440000	120000	0	0	0	0	0	1	2		2		200601300092	20060130009201	5793.77480693293
60	02	01	5736.2194832	75	17	5	1743													1500000	130000	0	0	0	0	0	1	2		2		200601300092	20060130009201	5793.77480693293
60	01	01	3317.4920465	61	01	5	0119													4800000	400000	0	0	0	0	0	2			2		200601300093	20060130009301	3263.95154789512
60	04	01	3317.4920465	59	92	5	9242													2400000	200000	0	0	0	0	0	2			2		200601300093	20060130009301	3263.95154789512
60	01	01	5022.8074088	60	01	1	0121	2			300000	2		2		2		2				0	0	0	0	0	1	2		2		200601300094	20060130009401	5052.26845110738
60	01	01	4597.6752445	60	01	1	0121	2			390000	2		2		2		2				0	0	0	0	0	1	2		2		200601300095	20060130009501	4667.39090206705
60	01	01	4597.6752445	60	01	1	0117	2			340000	2		2		2		2				0	0	0	0	0	1	2		2		200601300096	20060130009601	4667.39090206705
60	01	01	5329.4848507	61	01	5	0119													45000	400000	0	0	0	0	0	1	2		2		200601300097	20060130009701	5321.55313584948
60	02	01	5329.4848507	61	01	5	0119													450000	400000	0	0	0	0	0	1	2		2		200601300097	20060130009701	5321.55313584948
60	01	01	3657.3276174	61	01	5	0118													400000	0	0	0	0	0	0	1	2		2		200601300098	20060130009801	3627.06440106604
60	02	01	3657.3276174	41	52	5	5211													500000	50000	0	0	98	0	0	1	2		2		200601300098	20060130009801	3627.06440106604
60	03	01	3657.3276174	62	01	7	0118															0	0	0	0	0	1	2		2		200601300098	20060130009801	3627.06440106604
60	04	01	3657.3276174	62	01	7	0118															0	0	0	0	0	1	2		2		200601300098	20060130009801	3627.06440106604
60	01	01	3568.3555561	61	01	5	0118													98	0	0	0	0	0	0	1	2		2		200601300099	20060130009901	3588.98865982345
60	03	01	3568.3555561	62	01	7	0118															0	0	0	0	0	1	2		2		200601300099	20060130009901	3588.98865982345
60	01	01	3446.1663566	61	01	5	0118													98	0	0	0	0	0	0	1	2		2		200601300100	20060130010001	3412.39151629053
60	01	01	2923.3640542	61	01	5	0121													2800000	240000	0	0	0	0	0	1	2		2		200601300101	20060130010101	2929.64377098163
60	02	01	2923.3640542	62	01	7	0121															0	0	280000	0	0	1	2		2		200601300101	20060130010101	2929.64377098163
60	01	01	3332.1514675	61	01	6	0118													1000000	35000	0	0	0	0	0	1	2		2		200601300102	20060130010201	3355.59173032886
60	01	01	3100.3272059	75	17	5	1720													60000	25000	0	0	0	0	0	1	2		2		200601300103	20060130010301	3118.14120426758
60	01	01	3320.3682599	61	01	5	0118													300000	60000	0	0	0	0	0	1	2		2		200601300104	20060130010401	3327.41705820835
60	01	01	2382.2253106	61	01	5	0118													600000	150000	0	0	0	0	0	1	2		2		200601300105	20060130010501	2400.06852912914
60	01	01	2893.7703172	61	01	5	0121													600000	50000	0	0	0	0	0	1	2		2		200601300106	20060130010601	2907.78876087322
60	02	01	2893.7703172	62	01	7	0121															0	0	0	0	0	1	2		2		200601300106	20060130010601	2907.78876087322
60	05	01	2893.7703172	61	01	5	0118													98	0	0	0	0	0	0	1	2		2		200601300106	20060130010601	2907.78876087322
60	01	01	2911.4023253	62	01	1	0121	2			60000	2		1	98	2		2				0	0	0	0	0	1	2		2		200601300107	20060130010701	2928.10878674694
60	01	01	2677.7605406	61	01	6	0121													98	98	0	0	0	0	0	1	2		2		200601300108	20060130010801	2698.83013450314
60	02	01	2677.7605406	62	01	7	0121															0	0	0	0	0	1	2		2		200601300108	20060130010801	2698.83013450314
60	03	01	2677.7605406	62	01	7	0121															0	0	0	0	0	1	2		2		200601300108	20060130010801	2698.83013450314
60	03	01	2526.2008848	61	01	6	0118													98	0	0	0	0	0	0	1	2		2		200601300109	20060130010901	2547.68111565697
60	01	01	2819.3620957	61	01	5	0118													0	0	0	408500	0	0	0	1	1	3	3		200601300110	20060130011001	2848.51897242484
60	01	01	2441.5101161	75	17	5	1720													30000	10000	0	0	0	0	0	1	2		2		200601300111	20060130011101	2455.53865389937
60	01	01	2661.444904	62	01	4	0115	2			98	1	80000	2		2		2				0	0	0	0	0	1	2		2		200601300112	20060130011201	2655.70194230532
60	04	01	2661.444904	62	01	4	0115	2			96000	1	108000	2		2		2				0	0	0	0	0	1	2		2		200601300112	20060130011201	2655.70194230532
60	01	01	3122.234812	71	10	1	1010	2			250000	2		2		2		2				0	0	0	0	0	1	2		2		200601300113	20060130011301	3101.04651759333
60	02	01	3122.234812	41	52	5	5211													1600000	200000	0	0	0	0	0	1	2		2		200601300113	20060130011301	3101.04651759333
