Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	1914.3514727	2			1	24	2	1	2														200601300146	20060130014601	1911.80639880262
62	01	01	1789.8358261	2			2					2													200601300147	20060130014701	1786.83024893436
62	02	01	1789.8358261	2			2					2													200601300147	20060130014701	1786.83024893436
62	03	01	1789.8358261	2			1	07	2	1	1			1					1				2	1	200601300147	20060130014701	1786.83024893436
62	04	01	1789.8358261	2			1	10	2	1	1			1					1				2	1	200601300147	20060130014701	1786.83024893436
62	01	01	2184.088586	2			2					2													200601300148	20060130014801	2188.66639057032
62	02	01	2184.088586	2			2					2													200601300148	20060130014801	2188.66639057032
62	01	01	2025.9323574	2			2					2													200601300149	20060130014901	2021.87586907502
62	03	01	2025.9323574	2			2					1		1									2	1	200601300149	20060130014901	2021.87586907502
62	04	01	2025.9323574	2			2					1		1									2	1	200601300149	20060130014901	2021.87586907502
62	03	01	1754.4736545	2			2					2													200601300150	20060130015001	1761.11797535762
62	01	01	1711.1176427	2			2					2													200601300151	20060130015101	1723.15462476031
62	01	01	2117.6390073	2			2					2													200601300152	20060130015201	2104.64288720161
62	03	01	2117.6390073	2			2					2													200601300152	20060130015201	2104.64288720161
62	01	01	1680.8645897	1	0	7	1	38	2	1	1			1				1	1				1	1	200601300153	20060130015301	1684.19225041863
62	01	01	1975.0257757	2			2					2													200601300154	20060130015401	1973.82544414574
62	02	01	1970.4439716	2			2					2													200601300155	20060130015501	1994.31783264338
62	01	01	2056.4453499	2			2					2													200601300156	20060130015601	2066.04657299925
62	01	01	1968.8194088	2			2					2													200601300157	20060130015701	1965.51327382779
62	01	01	1726.9343352	1	98	16	2					2													200601300158	20060130015801	1729.21493486495
62	03	01	1726.9343352	1		24	2					2													200601300158	20060130015801	1729.21493486495
62	04	01	1726.9343352	1		24	2					2													200601300158	20060130015801	1729.21493486495
62	01	01	2035.561142	2			2					2													200601300159	20060130015901	2033.73422370522
62	01	01	1942.2560953	2			2					2													200601300160	20060130016001	1943.17284958286
62	03	01	1942.2560953	2			2					2													200601300160	20060130016001	1943.17284958286
62	01	01	1895.2763137	2			2					2													200601300161	20060130016101	1943.58641712698
