Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	02	01	05	571.21281395	02	1	43	1	2	2	2	02		100	1	0	200601100044	20060110004401	570.148828246593
10	03	01	05	571.21281395	03	2	18	5	1	2	2	02		408	4	8	200601100044	20060110004401	570.148828246593
10	04	01	05	571.21281395	05	2	2	5									200601100044	20060110004401	570.148828246593
10	05	01	05	571.21281395	05	2	0	5									200601100044	20060110004401	570.148828246593
10	06	01	05	571.21281395	03	2	15	5	1	1			1	407	4	7	200601100044	20060110004401	570.148828246593
10	01	01	05	702.7092642	01	2	58	4	2	2	2	02		100	1	0	200601100045	20060110004501	704.273985289276
10	02	01	05	702.7092642	03	1	21	5	2	2	2	02		100	1	0	200601100045	20060110004501	704.273985289276
10	01	01	05	659.45110363	01	1	23	1	1	2	2	02		407	4	7	200601100046	20060110004601	659.488261379594
10	02	01	05	659.45110363	02	2	26	1	1	2	2	01		407	4	7	200601100046	20060110004601	659.488261379594
10	03	01	05	659.45110363	03	1	11	5	1	1			1	303	3	3	200601100046	20060110004601	659.488261379594
10	01	01	05	699.30467514	01	1	16	5	1	2	2	02		303	3	3	200601100047	20060110004701	700.431815003103
10	01	01	05	766.53749997	01	1	35	1	1	2	2	01		611	6	11	200601100048	20060110004801	765.631157804212
10	02	01	05	766.53749997	02	2	26	1	1	2	2	02		409	4	9	200601100048	20060110004801	765.631157804212
10	03	01	05	766.53749997	03	1	6	5	1	1			1	301	3	1	200601100048	20060110004801	765.631157804212
10	01	01	05	747.69214372	01	1	65	2	1	2	2	11		305	3	5	200601100049	20060110004901	746.746375170526
10	02	01	05	747.69214372	02	2	68	2	1	2	2	11		305	3	5	200601100049	20060110004901	746.746375170526
10	03	01	05	747.69214372	05	2	7	5	2	1			1	300	3	0	200601100049	20060110004901	746.746375170526
10	01	01	05	725.39375249	01	1	64	2	1	2	2	11		611	6	11	200601100050	20060110005001	725.834038339213
10	02	01	05	725.39375249	02	2	48	2	1	2	2	11		305	3	5	200601100050	20060110005001	725.834038339213
10	03	01	05	725.39375249	03	2	16	5	1	1			1	610	6	10	200601100050	20060110005001	725.834038339213
10	01	01	05	725.30371302	01	1	30	1	1	2	2	01		611	6	11	200601100051	20060110005101	722.377899240471
10	02	01	05	725.30371302	02	2	26	1	1	2	2	07		303	3	3	200601100051	20060110005101	722.377899240471
10	03	01	05	725.30371302	03	2	10	5	1	1			1	303	3	3	200601100051	20060110005101	722.377899240471
