Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	05	736.01819586	1	1												200601100090	20060110009001	737.934359456166
50	02	01	05	736.01819586	1	1												200601100090	20060110009001	737.934359456166
50	03	01	05	736.01819586	1	3	2	2	2	2	2							200601100090	20060110009001	737.934359456166
50	04	01	05	736.01819586	1	3	2	2	2	2	2							200601100090	20060110009001	737.934359456166
50	01	01	05	788.65085886	2	1												200601100091	20060110009101	788.075693953664
50	02	01	05	788.65085886	2	4	2	2	2	2	1	11						200601100091	20060110009101	788.075693953664
50	03	01	05	788.65085886	2	1												200601100091	20060110009101	788.075693953664
50	01	01	05	830.16613044	1	4	1											200601100092	20060110009201	833.40337582594
50	02	01	05	830.16613044	1	1												200601100092	20060110009201	833.40337582594
50	03	01	05	830.16613044	1	1												200601100092	20060110009201	833.40337582594
50	04	01	05	830.16613044	1	1												200601100092	20060110009201	833.40337582594
50	05	01	05	830.16613044	1	4	2	2	2	1							1	200601100092	20060110009201	833.40337582594
50	06	01	05	830.16613044	1	1												200601100092	20060110009201	833.40337582594
50	01	01	05	809.79566054	2	4	2	2	2	2	2							200601100093	20060110009301	810.416881713895
50	02	01	05	809.79566054	2	1												200601100093	20060110009301	810.416881713895
50	01	01	05	568.4589618	2	5	2	1										200601100094	20060110009401	564.099452898866
50	02	01	05	568.4589618	2	4	2	2	2	2	1	12						200601100094	20060110009401	564.099452898866
50	07	01	05	568.4589618	2	6												200601100094	20060110009401	564.099452898866
50	08	01	05	568.4589618	2	1												200601100094	20060110009401	564.099452898866
50	01	01	05	681.78651579	1	5	1											200601100095	20060110009501	682.426600963707
50	02	01	05	681.78651579	1	4	2	2	2	2	1	12						200601100095	20060110009501	682.426600963707
50	03	01	05	681.78651579	1	5	2	2	2	1							1	200601100095	20060110009501	682.426600963707
50	04	01	05	681.78651579	1	3	2	2	2	2	2							200601100095	20060110009501	682.426600963707
50	01	01	05	820.76918004	2	1												200601100096	20060110009601	821.13891629667
50	02	01	05	820.76918004	2	4	2	2	2	2	1	08	1	2				200601100096	20060110009601	821.13891629667
50	01	01	05	695.990997	3	1												200601100097	20060110009701	695.643872271632
50	02	01	05	695.990997	3	4	2	2	2	2	2							200601100097	20060110009701	695.643872271632
50	03	01	05	695.990997	3	1												200601100097	20060110009701	695.643872271632
50	01	01	05	844.95866554	1	4	2	2	2	2	2							200601100098	20060110009801	845.395737818504
50	02	01	05	844.95866554	1	1												200601100098	20060110009801	845.395737818504
50	03	01	05	844.95866554	1	1												200601100098	20060110009801	845.395737818504
50	01	01	05	688.25574666	1	5	2	1										200601100099	20060110009901	687.763540991129
50	02	01	05	688.25574666	1	1												200601100099	20060110009901	687.763540991129
50	03	01	05	688.25574666	1	3	2	2	2	2	2							200601100099	20060110009901	687.763540991129
50	01	01	05	766.53749997	1	1												200601100100	20060110010001	765.631157804212
50	02	01	05	766.53749997	1	1												200601100100	20060110010001	765.631157804212
50	01	01	05	638.80561944	2	1												200601100101	20060110010101	640.970573345142
50	02	01	05	638.80561944	2	4	2	2	2	1							1	200601100101	20060110010101	640.970573345142
50	03	01	05	638.80561944	2	1												200601100101	20060110010101	640.970573345142
50	04	01	05	638.80561944	2	5	2	2	2	2	2							200601100101	20060110010101	640.970573345142
50	01	01	05	796.60816246	2	1												200601100102	20060110010201	796.449828668828
50	02	01	05	796.60816246	2	4	2	2	2	1							1	200601100102	20060110010201	796.449828668828
50	03	01	05	796.60816246	2	3	2	2	2	2	2							200601100102	20060110010201	796.449828668828
