Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	02	01	05	830.16613044	98	60	4													700000	0	0	0	0	0	1	2		2		6031	1	200601100092	20060110009201	833.40337582594
60	03	01	05	830.16613044	51	55	5													800000	0	0	0	0	0	2			2		5530	1	200601100092	20060110009201	833.40337582594
60	04	01	05	830.16613044	53	55	1	2			426000	1	60000	2		2		2			0	0	0	0	0	1	2		2		5522	1	200601100092	20060110009201	833.40337582594
60	06	01	05	830.16613044	53	55	1	2			400000	2		2		2		2			0	0	0	0	0	2			2		5530	1	200601100092	20060110009201	833.40337582594
60	02	01	05	809.79566054	98	60	4													700000	0	0	0	0	0	1	1	4	2		6031	1	200601100093	20060110009301	810.416881713895
60	01	01	05	568.4589618	93	36	1	2			500000	2		2		2		2			0	0	0	0	0	1	2		2		3611	1	200601100094	20060110009401	564.099452898866
60	08	01	05	568.4589618	54	95	3	2			260000	1	110000	1	100000	2		2			0	0	0	0	0	1	2		2		9500	1	200601100094	20060110009401	564.099452898866
60	01	01	05	681.78651579	97	63	4													130000	0	0	0	0	0	1	2		2		6310	1	200601100095	20060110009501	682.426600963707
60	01	01	05	820.76918004	45	52	4													300000	0	0	0	0	0	2			2		5269	1	200601100096	20060110009601	821.13891629667
60	01	01	05	695.990997	37	52	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		5237	1	200601100097	20060110009701	695.643872271632
60	03	01	05	695.990997	53	55	1	2			160000	2		2		2		2			0	0	0	0	0	1	2		2		5529	1	200601100097	20060110009701	695.643872271632
60	02	01	05	844.95866554	45	52	4													98	0	0	0	0	0	1	2		2		5269	1	200601100098	20060110009801	845.395737818504
60	03	01	05	844.95866554	45	52	4													98	0	0	0	0	0	1	2		2		5269	1	200601100098	20060110009801	845.395737818504
60	01	01	05	688.25574666	58	70	1	1	1		800000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7020	1	200601100099	20060110009901	687.763540991129
60	02	01	05	688.25574666	55	25	1	1	2	12	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	2529	1	200601100099	20060110009901	687.763540991129
60	01	01	05	766.53749997	72	27	1	1	1		534000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	2732	1	200601100100	20060110010001	765.631157804212
60	02	01	05	766.53749997	57	93	1	2			250000	2		2		2		2			0	0	0	0	0	1	1	5	2		9302	1	200601100100	20060110010001	765.631157804212
60	01	01	05	638.80561944	59	85	4													190000	0	0	0	0	0	1	2		2		8532	1	200601100101	20060110010101	640.970573345142
60	03	01	05	638.80561944	45	52	1	2			180000	2		2		2		2			0	0	0	0	0	1	2		2		5211	1	200601100101	20060110010101	640.970573345142
60	01	01	05	796.60816246	70	18	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1810	1	200601100102	20060110010201	796.449828668828
60	05	01	05	796.60816246	99	74	1	1	2	03	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7421	1	200601100102	20060110010201	796.449828668828
60	01	01	05	766.53749997	95	45	4													380000	0	0	0	0	0	1	2		2		4552	1	200601100103	20060110010301	765.631157804212
60	02	01	05	766.53749997	54	95	4													160000	0	0	0	0	0	1	2		2		9500	1	200601100103	20060110010301	765.631157804212
60	03	01	05	726.60128746	39	63	1	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	6390	1	200601100104	20060110010401	726.09076394725
60	04	01	05	726.60128746	45	52	1	2			425000	2		2		2		2			0	0	0	0	0	1	2		2		5233	1	200601100104	20060110010401	726.09076394725
60	01	01	05	713.6827837	79	18	1	1	9		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1810	1	200601100105	20060110010501	714.996019872052
60	01	01	05	767.80351943	99	45	1	2			381500	2		2		2		2			0	0	0	0	0	1	2		2		4521	1	200601100106	20060110010601	768.174549057293
60	01	01	05	635.40103039	53	55	1	2			426000	1	70000	2		2		2			0	0	0	0	0	1	2		2		5521	1	200601100107	20060110010701	637.128403058969
60	02	01	05	696.24003332	37	74	1	1	2	06	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7492	1	200601100108	20060110010801	698.937045261855
60	03	01	05	696.24003332	45	52	4													64000	0	0	0	0	0	1	2		2		5269	1	200601100108	20060110010801	698.937045261855
60	02	01	05	763.2992308	83	28	1	1	1		425000	1	90000	2		2		2			100000	0	0	0	0	1	1	1	1	1	2811	1	200601100110	20060110011001	762.78945450194
60	01	01	05	807.83071829	95	45	1	1	2	05	425000	2		2		2		2			0	0	0	0	0	1	1	1	2		4522	1	200601100111	20060110011101	810.465036241827
60	03	01	05	807.83071829	83	28	1	1	2	01	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	2811	1	200601100111	20060110011101	810.465036241827
60	01	01	05	760.0682691	93	45	4													98	0	0	0	0	0	1	1	5	2		4552	1	200601100112	20060110011201	760.29421777679
60	02	01	05	760.0682691	13	80	2	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	8041	1	200601100112	20060110011201	760.29421777679
60	01	01	05	809.79566054	53	15	4													120000	80000	0	0	0	0	1	2		2		1551	1	200601100113	20060110011301	810.416881713895
60	02	01	05	809.79566054	98	60	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	6021	1	200601100113	20060110011301	810.416881713895
60	01	01	05	766.53749997	41	52	4													650000	0	0	0	0	0	1	2		2		5234	1	200601100115	20060110011501	765.631157804212
60	02	01	05	766.53749997	45	52	6														0	0	0	0	0	1	2		2		5234	1	200601100115	20060110011501	765.631157804212
60	01	01	05	775.93445038	55	70	1	1	1		500000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7020	1	200601100116	20060110011601	777.895617333482
60	02	01	05	775.93445038	54	95	4													120000	0	0	0	0	0	1	1	5	2		9500	1	200601100116	20060110011601	777.895617333482
60	07	01	05	775.93445038	58	75	1	1	2	12	600000	2		2		2		2			0	800000	0	0	0	1	1	1	3		7512	1	200601100116	20060110011601	777.895617333482
60	01	01	05	760.0682691	98	51	1	2			440000	2		2		2		2			0	0	0	0	0	1	2		2		5155	1	200601100117	20060110011701	760.29421777679
60	03	01	05	838.48943467	99	51	4													98	0	0	0	0	0	1	2		2		5155	1	200601100118	20060110011801	840.058797791082
60	01	01	05	627.38120837	53	15	4													300000	0	0	0	0	0	1	2		2		1594	1	200601100120	20060110012001	625.571908910224
60	01	01	05	734.64123206	53	15	4													200000	0	0	0	0	0	1	2		2		1594	1	200601100121	20060110012101	733.061738895868
60	01	01	05	688.25574666	45	50	1	2			425000	2		2		2		2			120000	0	0	0	0	1	1	1	1	1	5030	1	200601100122	20060110012201	687.763540991129
60	01	01	05	635.29008605	58	70	1	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7020	1	200601100123	20060110012301	634.799173751752
60	01	01	05	473.79838229	81	52	1	1	2	12	1000000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5241	1	200601100124	20060110012401	471.80158527365
