Reg	Orden	Hogar	Area	Fex_c	P60	P61	P61na	P62	P63	P64	P64na	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Ini	Llave_viv	Llave_hog	Fex_c_2011
80	02	01	05	753.42541087	2				2			0	0	0	0	0	0	1	200601100168	20060110016801	753.610344188344
80	02	01	05	820.76918004	1	4	3	2				0	0	0	0	0	0	1	200601100170	20060110017001	821.13891629667
80	03	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100172	20060110017201	737.934359456166
80	04	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100172	20060110017201	737.934359456166
80	02	01	05	712.19627129	1	4	3	2				0	0	0	0	0	0	1	200601100174	20060110017401	712.423055295609
80	04	01	05	712.19627129								0	0	0	0	0	0	1	200601100174	20060110017401	712.423055295609
80	05	01	05	685.19110484	2				2			0	0	0	0	0	0	1	200601100175	20060110017501	686.268771249881
80	06	01	05	685.19110484	1	2	3	2				0	0	0	200000	0	0	1	200601100175	20060110017501	686.268771249881
80	01	01	05	726.96119268	1	4	4	2				0	0	0	0	0	0	1	200601100176	20060110017601	728.017300471821
80	03	01	05	726.96119268								0	0	0	0	0	0	1	200601100176	20060110017601	728.017300471821
80	02	01	05	670.5640354	2				2			0	0	0	0	0	0	1	200601100179	20060110017901	672.107259163578
80	04	01	05	670.5640354	2				2			0	0	0	0	0	0	1	200601100179	20060110017901	672.107259163578
80	01	01	05	709.17849507	1	4	5	2				0	0	381500	0	0	0	1	200601100180	20060110018001	709.610925316698
80	01	01	05	709.17849507								0	390000	0	0	0	0	1	200601100182	20060110018201	709.610925316698
80	05	01	05	653.12128502	1	1	8	2				0	0	0	0	0	0	1	200601100183	20060110018301	656.048284553381
80	03	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100184	20060110018401	737.934359456166
80	04	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100184	20060110018401	737.934359456166
80	01	01	05	708.81858985	1	3	5	2				0	0	408000	0	0	0	1	200601100186	20060110018601	707.684388792127
80	02	01	05	777.5394874	1	4	4	2				0	0	0	0	0	0	1	200601100187	20060110018701	775.92092628098
80	02	01	05	563.47756362	1	4	3	2				0	0	0	0	0	0	1	200601100188	20060110018801	562.26849696609
80	03	01	05	563.47756362	2				2			0	0	0	0	0	0	1	200601100188	20060110018801	562.26849696609
80	04	01	05	563.47756362	2				2			0	0	0	0	0	0	1	200601100188	20060110018801	562.26849696609
80	02	05	05	788.65241917	1	4	3	2				0	0	0	0	0	0	1	200601100189	20060110018905	788.539924064964
80	04	01	05	700.74432195	2				2			0	0	0	0	0	0	1	200601100190	20060110019001	704.322139817208
80	02	01	05	782.35525533	2				2			0	0	0	0	0	0	1	200601100191	20060110019101	784.085687487267
80	04	01	05	782.35525533	1	1	8	2				0	0	0	0	0	0	1	200601100191	20060110019101	784.085687487267
80	07	01	05	782.35525533	1	4	3	2				0	0	0	0	0	0	1	200601100191	20060110019101	784.085687487267
80	01	01	05	352.88695301	2				2			0	0	0	0	0	0	1	200601100192	20060110019201	352.884377515262
80	10	01	05	352.88695301	2				2			0	0	0	0	0	0	1	200601100192	20060110019201	352.884377515262
80	11	01	05	352.88695301	2				2			0	0	0	0	0	0	1	200601100192	20060110019201	352.884377515262
80	02	01	05	675.31728491								0	0	0	0	0	0	1	200601100193	20060110019301	677.089660936286
80	01	01	05	744.34150008	1	4	7	2				0	0	381500	0	0	0	1	200601100194	20060110019401	744.589781421308
80	02	01	05	744.34150008	1	4	3	2				0	0	0	0	0	0	1	200601100194	20060110019401	744.589781421308
80	02	01	05	820.76918004	2				2			0	0	0	0	0	0	1	200601100196	20060110019601	821.13891629667
80	02	01	05	755.31501959	2				2			0	300000	0	0	0	0	1	200601100197	20060110019701	755.311816004083
80	01	01	05	712.30581991	1	4	3	2				0	0	0	0	0	0	1	200601100198	20060110019801	710.123399311754
80	02	01	05	625.17417942	2				2			0	0	0	0	0	0	1	200601100199	20060110019901	621.85125825098
80	02	03	05	625.17417942	1	4	4	2				0	0	0	0	0	0	1	200601100199	20060110019903	621.85125825098
80	03	02	05	641.66262968	2				2			0	0	0	0	0	0	1	200601100200	20060110020002	637.677718852126
80	02	03	05	641.66262968	1	1	0	2				60000	0	0	0	0	0	1	200601100200	20060110020003	637.677718852126
80	03	03	05	641.66262968	2				2			0	0	0	0	0	0	1	200601100200	20060110020003	637.677718852126
80	03	01	05	742.48742673								0	0	0	0	0	0	1	200601100201	20060110020101	743.271299483587
80	04	01	05	664.20567342	2				2			0	0	0	0	0	0	1	200601100203	20060110020301	665.403682670504
80	01	01	05	838.48943467	1	3	8	2				0	0	0	500000	0	0	1	200601100204	20060110020401	840.058797791082
80	02	01	05	838.48943467	2				2			0	0	0	0	0	0	1	200601100204	20060110020401	840.058797791082
