Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	02	01	05	736.01819586	1	2				2					2												200601100172	20060110017201	737.934359456166
62	02	01	05	587.6385812	1	2				2					2												200601100173	20060110017301	586.957584593932
62	01	01	05	712.19627129	1	2				2					2												200601100174	20060110017401	712.423055295609
62	02	01	05	685.19110484	1	2				2					1		1						1		1	1	200601100175	20060110017501	686.268771249881
62	02	01	05	726.96119268	1	1	3	30000	16	2					1		1		1						2	1	200601100176	20060110017601	728.017300471821
62	01	01	05	774.2727503	1	2				2					2												200601100177	20060110017701	773.511489084715
62	02	01	05	774.2727503	1	2				2					2												200601100177	20060110017701	773.511489084715
62	01	01	05	774.2727503	1	2				2					2												200601100178	20060110017801	773.511489084715
62	02	01	05	774.2727503	1	2				2					2												200601100178	20060110017801	773.511489084715
62	01	01	05	670.5640354	1	2				2					2												200601100179	20060110017901	672.107259163578
62	03	01	05	670.5640354	1	2				1	42	1	1	1		1	1								1	1	200601100179	20060110017901	672.107259163578
62	01	01	05	653.12128502	1	2				1	60	1	1	1			1						1		1	1	200601100183	20060110018301	656.048284553381
62	02	01	05	653.12128502	1	2				2					2												200601100183	20060110018301	656.048284553381
62	03	01	05	653.12128502	1	2				2					2												200601100183	20060110018301	656.048284553381
62	01	01	05	736.01819586	1	2				2					2												200601100184	20060110018401	737.934359456166
62	02	01	05	736.01819586	1	2				2					2												200601100184	20060110018401	737.934359456166
62	01	01	05	673.87763811	1	2				2					2												200601100185	20060110018501	673.19933612218
62	02	01	05	673.87763811	1	2				1	08	1	1	1			1						1		1	1	200601100185	20060110018501	673.19933612218
62	02	01	05	708.81858985	1	2				2					2												200601100186	20060110018601	707.684388792127
62	01	01	05	777.5394874	1	2				2					2												200601100187	20060110018701	775.92092628098
62	03	01	05	777.5394874	1	2				2					2												200601100187	20060110018701	775.92092628098
62	05	01	05	777.5394874	1	2				2					2												200601100187	20060110018701	775.92092628098
62	06	01	05	777.5394874	1	2				2					1		1								1	1	200601100187	20060110018701	775.92092628098
62	01	01	05	563.47756362	1	2				2					2												200601100188	20060110018801	562.26849696609
62	01	01	05	788.65241917	1	2				2					2												200601100189	20060110018901	788.539924064964
62	02	01	05	788.65241917	1	2				2					2												200601100189	20060110018901	788.539924064964
62	01	02	05	788.65241917	1	2				2					2												200601100189	20060110018902	788.539924064964
62	01	03	05	788.65241917	1	2				2					2												200601100189	20060110018903	788.539924064964
62	01	04	05	788.65241917	1	2				2					1								1		1	1	200601100189	20060110018904	788.539924064964
62	01	05	05	788.65241917	1	2				2					2												200601100189	20060110018905	788.539924064964
62	01	01	05	700.74432195	1	2				2					2												200601100190	20060110019001	704.322139817208
62	02	01	05	700.74432195	1	2				2					2												200601100190	20060110019001	704.322139817208
62	01	01	05	782.35525533	1	2				2					2												200601100191	20060110019101	784.085687487267
62	05	01	05	782.35525533	1	2				2					2												200601100191	20060110019101	784.085687487267
62	09	01	05	352.88695301	1	2				2					2												200601100192	20060110019201	352.884377515262
62	01	01	05	675.31728491	1	2				2					1		1								2	1	200601100193	20060110019301	677.089660936286
62	03	01	05	675.31728491	1	2				2					2												200601100193	20060110019301	677.089660936286
62	04	01	05	675.31728491	1	2				1	30	2	1	1			1						1		2	1	200601100193	20060110019301	677.089660936286
62	02	01	05	875.06354312	1	2				2					1				1						1	1	200601100195	20060110019501	875.664379042936
62	01	02	05	875.06354312	1	2				2					2												200601100195	20060110019502	875.664379042936
62	02	02	05	875.06354312	1	2				2					2												200601100195	20060110019502	875.664379042936
62	01	01	05	820.76918004	1	2				2					2												200601100196	20060110019601	821.13891629667
62	01	01	05	755.31501959	1	2				2					2												200601100197	20060110019701	755.311816004083
62	02	01	05	712.30581991	1	2				2					1		1		1						2	1	200601100198	20060110019801	710.123399311754
62	01	01	05	625.17417942	1	2				1	60	1	1	1			1		1						1	1	200601100199	20060110019901	621.85125825098
62	01	02	05	625.17417942	1	2				1	10	1	1	1		1	1						1		1	1	200601100199	20060110019902	621.85125825098
62	01	03	05	625.17417942	1	2				2					1		1		1						2	1	200601100199	20060110019903	621.85125825098
62	01	04	05	625.17417942	1	2				2					2												200601100199	20060110019904	621.85125825098
62	02	04	05	625.17417942	1	2				2					2												200601100199	20060110019904	621.85125825098
62	01	01	05	641.66262968	1	2				2					2												200601100200	20060110020001	637.677718852126
62	02	01	05	641.66262968	1	2				2					2												200601100200	20060110020001	637.677718852126
62	01	03	05	641.66262968	1	2				2					1				1				1		2	1	200601100200	20060110020003	637.677718852126
62	01	01	05	742.48742673	1	2				2					1		1								1	1	200601100201	20060110020101	743.271299483587
62	02	01	05	742.48742673	1	2				2					1		1								1	1	200601100201	20060110020101	743.271299483587
62	01	01	05	712.30581991	1	2				2					2												200601100202	20060110020201	710.123399311754
62	02	01	05	712.30581991	1	2				2					2												200601100202	20060110020201	710.123399311754
62	01	01	05	664.20567342	1	2				2					2												200601100203	20060110020301	665.403682670504
62	02	01	05	664.20567342	1	2				2					2												200601100203	20060110020301	665.403682670504
62	03	01	05	664.20567342	1	2				2					2												200601100203	20060110020301	665.403682670504
62	02	01	05	670.51553404	1	2				2					2												200601100205	20060110020501	669.264523517072
